slope_Outdoor view,r_value_Outdoor view,p_value_Outdoor view,std_err_Outdoor view,timestamp_Outdoor view,slope_Indoor w/ window view,r_value_Indoor w/ window view,p_value_Indoor w/ window view,std_err_Indoor w/ window view,timestamp_Indoor w/ window view,slope_Indoor w/o window view,r_value_Indoor w/o window view,p_value_Indoor w/o window view,std_err_Indoor w/o window view,timestamp_Indoor w/o window view
-1.0873433893035744,-0.981459020601561,4.262664988037814e-36,0.030650164654737196,20230622T1500,-1.1757960690920102,-0.9922508980874787,3.87783880593449e-45,0.02125140199221059,20230310T1630,-1.3582636701928372,-0.988377972708037,6.232601828515198e-41,0.03015302064960404,20231122T1200
-1.4584405457870173,-0.9731622472327474,2.7810109273865623e-32,0.04977798710628143,20230404T1400,-1.5405236787342518,-0.9954356147852979,1.2219259807736414e-50,0.021317908266506636,20231022T1500,-1.2096053922427752,-0.9855727868872699,1.0833065596404836e-38,0.029982546889866752,20231120T1230
-1.043394225228654,-0.9469890899357274,2.577561999179619e-25,0.05109133177930971,20230210T1130,-0.9924899399398746,-0.9838352617356616,1.6279112838420662e-37,0.02607475591978065,20231114T1100,-1.3582863236216338,-0.9460752254729542,3.8447696135384413e-25,0.06713036679635366,20230626T0900
-1.5521613728953754,-0.9840288993569604,1.2216707416600606e-37,0.040527500484369566,20230208T1030,-1.2331195919869908,-0.9927346824856982,8.298408936780342e-46,0.021572646336910556,20230803T1400,-1.5423140264451733,-0.9851238668646486,2.248883226056113e-38,0.03883293199774213,20230404T1130
-1.2695184645825486,-0.9496262061698884,7.803837691861906e-26,0.060470522232745086,20230616T1630,-1.3686560692107372,-0.9914817082383034,3.7266205214062184e-44,0.02595095944552221,20240110T1000,-1.2119553832037437,-0.9868426847520736,1.2036914111163017e-39,0.028660480574431196,20231120T1700
-1.2307979782186924,-0.9381592620825346,9.40902918100076e-24,0.06555738880640981,20230414T1130,-1.557725669509371,-0.9955976013080143,5.1427228221778175e-51,0.021167408364891116,20231022T1030,-1.4028304490275234,-0.9863357737089273,2.9654861783222785e-39,0.03382039185511826,20230612T1030
-0.37118282769124095,-0.7479921127815711,4.2998022742377647e-10,0.047538671376641965,20230210T1800,-1.578865127512949,-0.9869941113580019,9.132541074877518e-40,0.037117452199979195,20240109T0900,-1.3654347436605887,-0.9461899181773984,3.6579841542253957e-25,0.06740567310037582,20230626T1300
-0.9863521586709098,-0.9827202944290087,7.970160581228574e-37,0.02681515742234443,20230302T1330,-1.077188281958287,-0.9854425537818344,1.3421117322298956e-38,0.0268232223392471,20230310T1300,-0.8594268584833731,-0.9392676679818656,6.173069470610569e-24,0.045323953722827694,20230626T1630
-1.3761618642127667,-0.9765576391404555,1.1240837310749753e-33,0.043783092500278814,20230414T1800,-1.4163917204452716,-0.9864270017358342,2.5276330808958633e-39,0.03403078840526568,20230614T1330,-1.3801354982998013,-0.9895567023047728,4.849403890463299e-42,0.029017327590076934,20230621T1200
-1.4034991797555578,-0.9934034781814379,8.234959631367268e-47,0.023384117021095614,20230623T2000,-1.3415396426297033,-0.9909878160422926,1.4335022791685118e-43,0.026173626588117425,20240110T1530,-1.3327452245337688,-0.9909123297285762,1.7497469779004343e-43,0.026112210177239425,20230612T1500
-1.4799709388536233,-0.9909819109557194,1.4561203288403183e-43,0.028884028077783216,20230614T1600,-1.2721730523568695,-0.9913156967904808,5.911466615933277e-44,0.024358533491515642,20231114T1430,-1.5410277806365207,-0.9819051152136717,2.3877780767235076e-36,0.042898259021895424,20230613T0830
-1.3922945119155112,-0.9794908074623052,4.6961257385005375e-35,0.041339112995157905,20240315T1330,-1.1346615073628576,-0.9906814179406687,3.187116442866589e-43,0.02251580529479452,20230803T1130,-1.3839949540780347,-0.9902036613294483,1.0525241200990564e-42,0.02816890830086289,20230621T0900
-1.2675970062748565,-0.9705426080716741,2.524830934955534e-31,0.045418840338419926,20230619T1300,-1.299470227265298,-0.9831881193590672,4.146168810217256e-37,0.034833667175930005,20230322T0930,-1.3825555748543026,-0.9880909666568606,1.115723680432965e-40,0.03107573660586835,20231122T1300
-1.3244060374140056,-0.9842531551299596,8.72260499829639e-38,0.03433120379155174,20230414T1400,-1.1766805887222946,-0.9874642854359119,3.7938212697262e-40,0.027148184208793922,20230310T0900,-1.452345405454394,-0.9750471273266569,4.94692382160462e-33,0.047727940662048496,20230404T1500
-1.391871152483331,-0.9832402011184298,3.850869151537166e-37,0.03725124980386535,20230616T1300,-1.0046563617146143,-0.9437505540072072,1.0312193897234673e-24,0.050806478034506754,20240111T1200,-1.5498582676068111,-0.9808689421776329,8.982115538423771e-36,0.04439742127258494,20230613T1330
-1.187754014000233,-0.9391086627579979,6.561000189561627e-24,0.06272907312933322,20230208T1500,-1.5600397486132773,-0.9900961162780497,1.3662049902593893e-42,0.03192842390473227,20231121T1030,-1.2104860370020512,-0.9857483291474388,8.090935343163328e-39,0.029817285973966136,20231120T1330
-1.0447153978273576,-0.9535158973844386,1.1851680008564881e-26,0.04765518275503846,20230210T1400,-1.5849791020099648,-0.9874955695331873,3.5742378051241065e-40,0.036521853367025535,20240109T1300,-1.539777733114778,-0.9872265332632716,5.939675241236694e-40,0.035867299261812396,20230404T1030
-1.0447153978273576,-0.9535158973844386,1.1851680008564881e-26,0.04765518275503846,20230210T1400,-1.443982794578901,-0.9872072293397032,6.157573188949127e-40,0.033661770841955756,20231115T1300,-1.3887079925072088,-0.9882387584485041,8.281499103283222e-41,0.03101624982771386,20231122T1630
-1.4256453226826626,-0.9886638753449067,3.4390051326308947e-41,0.031250373178127906,20240315T1600,-1.3234033011279438,-0.9841244384067316,1.0589553939365702e-37,0.0344485209456887,20230322T1330,-1.329727748981535,-0.9891651402560233,1.168037895408067e-41,0.02848527241359781,20230616T1200
-1.030247210076147,-0.9834890596024654,2.696704531511466e-37,0.02736226878753768,20230302T1600,-1.1308014575259093,-0.9682056038579935,1.5367992852642776e-30,0.0421704923427324,20230802T1330,-1.2107931526397548,-0.9862449555391201,3.472998160947771e-39,0.029289499165183794,20231120T1600
-0.9907054775188249,-0.9876138824962921,2.848818041048117e-40,0.022718014272300156,20230622T1900,-1.4757311932852,-0.9961911327994255,1.601766966908297e-52,0.01864416524043252,20231115T1630,-1.552334618356262,-0.9805918314292984,1.2645376215836285e-35,0.044798783652802564,20230613T1600
-1.2091210886557577,-0.9602565057324087,2.9773802567680843e-28,0.050728426890839715,20240319T1830,-1.464016885330724,-0.9934354410529916,7.331424622061903e-47,0.02433266524544005,20231121T1500,-1.3634783205616179,-0.945551600903556,4.819676580705926e-25,0.06774173545637642,20230626T1200
-1.5401859481469888,-0.9928101599932259,6.4641137417485905e-46,0.026802722052784302,20230421T1930,-1.3015609534817363,-0.984640274682978,4.820292073578377e-38,0.0333118629986866,20230322T1600,-1.4172454506815837,-0.9915277048488357,3.2741770405742807e-44,0.026798674516445062,20230621T1630
