,index,overall_mean,overall_std,overall_median,overall_min,overall_max,overall_IQR
0,average_radiances_L cones,1.8926430700447094,2.3671834014304585,0.7658,0.0004,10.9462,2.5691
1,average_radiances_M cones,1.9230611028315943,2.775010821141947,0.6816,0.0006,15.7464,2.3452
2,average_radiances_S cones,1.0499476900149032,1.628125422840141,0.314,0.0001,10.2478,1.13215
3,average_radiances_Rods,1.5539824143070047,1.9531380878926223,0.6292,0.0002,8.473,2.042
4,average_radiances_Melanopsin,1.604800596125186,2.2618703272674097,0.5614,0.0002,10.9764,1.9558000000000002
5,rms_contrast_L cones,0.13953353204172875,0.07883208089605136,0.1304,0.001,0.3808,0.11479999999999999
6,rms_contrast_M cones,0.12571967213114754,0.07832661049054221,0.1113,0.0008,0.3724,0.11340000000000001
7,rms_contrast_S cones,0.1362698956780924,0.08397687983075165,0.1269,0.0008,0.388,0.11485000000000001
8,rms_contrast_Rods,0.15057272727272727,0.0844127985177346,0.1368,0.0012,0.3891,0.12395
9,rms_contrast_Melanopsin,0.1429946348733234,0.08471614430261101,0.1287,0.0012,0.389,0.1227
